Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Dominica,DMA,5.873745953,1.411277101,1.784109517,1.748182563,-0.264511287,2.950467015,3.340389654,2.673074939,4.385977652,0.857739737,2.611335244,-0.078583101,-3.073764728,5.95437673,2.637800831,0.361061904,4.467846562,6.238084028,7.072344204,-1.203234816,0.634193476,-0.277146126,-1.127099991,-0.679070659,4.287569045,-2.684664978,2.343769158,-9.721583475,0.298339687,
Denmark,DNK,1.310525148,1.130840207,1.620420842,-0.321959905,4.977347124,2.492248213,2.319405659,2.832664507,1.847613903,2.607944271,3.400684566,0.462534318,0.145880705,0.117358136,2.403234022,2.055110532,3.57206343,0.462731524,-1.094842119,-5.414013997,1.419486594,0.920393696,-0.149916083,0.513424412,1.105433467,1.622165587,1.603662624,1.606574923,0.9213117,
Dominican Republic,DOM,-7.251603107,-0.956822498,9.150154026,5.399447566,0.767738446,3.853463633,4.19860256,7.112214795,5.025387119,4.303868641,3.079874081,0.942868806,2.981578814,-2.742890771,1.151470008,7.950955381,7.736305254,6.033694071,1.908603408,-0.304633349,7.016750474,1.892348697,1.499963278,3.650787233,6.397640872,5.820572986,5.422167969,3.404295446,5.803116129,
Algeria,DZA,-1.754072876,-3.601133822,-0.564732609,-4.250993879,-2.931113297,1.836410356,2.290847629,-0.519933001,3.534351331,1.748716639,2.418919429,1.667945748,4.271283669,5.842756881,2.936106755,4.44596085,0.199533975,1.781542122,0.698952973,-0.102974228,1.780311016,0.972222444,1.377052951,0.729955488,1.699789724,1.662660298,1.202537463,-0.456572113,0.070905214,
East Asia & Pacific (excluding high income),EAP,3.73200166,6.31857453,9.225142561,9.42716442,9.22003901,8.357506766,7.621619281,5.763792119,0.601376364,4.998447198,6.450259172,5.718976252,6.911029569,7.817425246,8.059716306,8.845250249,9.925322853,11.33678605,7.647130045,6.924278408,8.998382225,7.69714738,6.735294598,6.42549663,5.984991822,5.747116302,5.595769654,5.698202663,5.634584838,
Early-demographic dividend,EAR,3.435044641,2.680477567,1.980347166,1.182685189,0.908531494,0.767442313,3.471143052,2.729179502,0.04530062,-0.295617196,2.607917583,-0.768049316,-0.135650216,3.054578218,4.971291123,4.40860569,4.467528208,4.203119723,1.846551672,-0.902806122,4.573677906,3.422292419,2.735934971,2.828621274,2.571810411,3.234512084,3.392334876,3.322596073,2.755709113,
East Asia & Pacific,EAS,3.537888838,2.977498849,2.077154501,1.877102208,3.037640619,3.863315576,3.873223312,2.304557851,-1.165381669,1.980474068,3.915994649,1.760474879,2.737704227,3.438484581,4.367112979,4.27255383,4.770684328,5.713065932,2.79282919,0.686056667,6.342243481,3.918318322,3.975560209,4.041924936,3.417786963,3.432748984,3.334232647,3.87622639,3.57940328,
Europe & Central Asia (excluding high income),ECA,-2.078751833,-5.708423052,-10.80489076,-5.793029706,-10.59725479,-1.385201863,-0.125873289,2.601051449,-1.730851669,2.0641846,7.986586686,2.672828317,5.569342606,6.598490843,8.296338854,7.086492621,8.074763583,7.4965535,4.131108088,-6.366299915,4.542316527,5.452437604,3.121147212,3.391535653,1.603580139,0.189052,1.123776658,3.439857288,2.25439649,
Europe & Central Asia,ECS,1.78989266,-0.026593519,-1.017583374,-1.179379651,0.852977012,1.969316976,1.600014785,2.854789014,2.388353922,2.779510581,4.165408211,2.115046218,1.571232531,1.578298496,2.956004407,2.463051906,3.642632699,3.369851317,0.642694194,-4.856021005,2.161749102,2.076708738,-0.091901644,0.414170795,1.369176157,1.542866151,1.42610405,2.263181553,1.741832542,
Ecuador,ECU,1.257248148,1.88592867,-0.207475508,-0.309122933,1.96495055,0.04594147,-0.423772128,2.16057048,1.175564974,-6.604966749,-0.813533054,2.134634702,2.284712963,0.984811425,6.40669181,3.543842498,2.669305,0.494782006,4.607050249,-1.058188534,1.892927572,6.221051678,4.070252971,3.387280468,2.198941227,-1.507585123,-2.898024887,0.573877117,-0.397089903,
"Egypt, Arab Rep.",EGY,3.1337262,-1.1464331,2.260654913,0.8148834,1.905230096,2.563796071,2.896281176,3.394219504,3.489514322,3.987331989,4.336347587,1.585498113,0.481792714,1.29320193,2.203147323,2.602220208,4.967392878,5.228299139,5.267160098,2.74007292,3.080864615,-0.363937291,-0.012959635,-0.105957427,0.616853231,2.093722195,2.132012011,2.025577857,3.194431298,
Euro area,EMU,3.108486098,2.146249641,0.922651273,-1.056336735,2.186134551,2.215318229,1.456386274,2.479319201,2.770514107,2.725009501,3.526857776,1.781313848,0.536749636,0.168017902,1.771588254,1.181375512,2.760817288,2.543088504,-0.017216696,-4.813778633,1.836802081,1.797210796,-1.076077242,-0.586173322,1.044545981,1.778663024,1.573104169,2.276607652,1.725924978,
Eritrea,ERI,,,,14.41617226,22.32497903,3.521384782,9.644745023,7.971851813,1.253533542,-1.371033302,-5.466283031,4.986057196,-1.409294388,-7.143476239,-2.980758192,-1.303165484,-4.075877382,-1.224527498,-11.73427848,1.974014581,0.565915707,7.207605266,,,,,,,,
Spain,ESP,3.675767861,2.28532476,0.436115102,-1.543358289,1.896906884,2.304957055,2.248016287,3.25594003,3.875202774,4.062130696,4.819364022,3.281734814,1.436815991,1.338243755,1.40190868,1.985476006,2.428012521,1.865813028,-0.482674966,-4.424062114,-0.445350775,-1.349930077,-2.990755144,-1.383096773,1.683527291,3.725128085,3.086610965,2.736799193,2.295205926,
